,Unnamed: 0,channel_url,channel_name
480,/channel/UCjiz0KnBJS9NkIgQcBQbdsA,ThatOneMohamed ASMR,
482,/channel/UClIcXcmqr0hstrTj8lDixmg,ASMR Labs,
486,/channel/UCi5Ccd_Iq6vXU6Q1rXc9a0w,foodlicious,
494,/channel/UCF4iJ7HRtEPW3mugTt6V2aA,Unusual Cooking,
495,/user/gudangtutorial,Gudang Tutorial,
497,/channel/UCTtIv3qDMh1LqvAEY_UTpSw,Lego NCN,
498,/user/boybayu871225,Sup Kosong ASMR,
505,/channel/UCZ02Sry3mbB9al4OlfDbk-A,The ASMR Bro,
509,/user/yanarainbowoffical,Lina's ASMR,
511,/channel/UCXXCg1DNktAlZmYF8MuwEiQ,taylahnwho,
512,/channel/UCzlOSTLcFkbnFT-nUywtmAQ,Layla &amp; Zilong,
517,/channel/UCh2SHl3SRK-yv0xm5rPfecw,ぺよんきむ,
519,/channel/UCltoR9Oc_KOsdLatfLaBXPw,coco KaTuN,
520,/channel/UC5JXUeX9gAgO3Qm-1r4qunQ,Mar Masa,
522,/channel/UCfL4WLj_X7ixtVPOqgOx3kg,FOOD is HAPPINESS by Rio,
523,/channel/UCtE4bV3w38Da6iJro9Cu_Wg,Eat With K&amp;K,
525,/channel/UCfgZA5aiYg-zZeIjhaPCqEA,EDDY CHOI ASMR,
527,/channel/UC5FQZiMPKiN1L6JpDE6189g,大食いっぽい菜,
529,/channel/UCIz8CHu7dpQuM9j5xWhvUww,nomnomsammieboy,
533,/channel/UCUScKh5HQxPhBEcFn5j4B8Q,iamquays,
535,/user/411ent,411ent,
536,/channel/UCVy7TRGRUWZkUFzKT71nlFg,Eat Life With Kimchi,
537,/channel/UCIBMjqXet4k8eENdAKhA7jw,ASMR SOUNDS CREATE,
538,/user/galaxyworldful,meatbang,
539,/channel/UCJJmtNNNLZD00IDuq2BenSg,ASMR Kabayan Lab,
543,/channel/UCywOmzylZPCMeP_NI3lr1pA,Zora Z,
544,/user/HowToBasic,HowToBasic,
546,/channel/UC7KY7GYzi1TeTNOx5s9Pwww,samantha tang,
548,/channel/UCHlI1jVLWsRV9Bf5vqSCqYA,Eric Lau ASMR,
549,/channel/UCw67v7X8TleRjVx3JS7x17A,SophieMarron,
550,/channel/UCfLuT3JwLx8rvHjHfTymekw,Triggered Insaan,
551,/user/SuperLisalong,LisaASMR,
555,/channel/UCwqcSe329dVcF_7Pbn48iFA,Jannie ASMR,
556,/channel/UCS7pJJcluhXKeY-TqDdPvjQ,Gyan-In a Nutshell,
558,/channel/UCkg43O1JGiafC0DqrzK8oHQ,Top ASMR,
560,/channel/UCPtTtqo36fumupCWDNosIGg,food shood with Bijan,
561,/user/TheDaBoki,TheDaBoki,
563,/channel/UCYiVgmaOxKVwpdWqxgjFz1w,Christy Galer,
564,/channel/UC-P3GA-kxLg8TqVDT2fNxig,B&amp;G Mukbank,
567,/user/JustAWhisperingGuy,Duff The Psych,
568,/channel/UCMxkUPwu8spG1V6kAdjRmqg,Tassie Yang,
569,/channel/UCt4DWLQBW3DbLw9Osiqe_aQ,SongByrd ASMR,
