title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR Eat Ice| Thin Hollow Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=QGET8g6sRko,16295,Eat Ic,17400,,41918,39
ASMR Eat Ice| Star fruit Shape Shavedice & Ice Stick | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek,/watch?v=iO7IseXxX5Q,19821,Eat Ic,17400,,41918,47
ASMR Eat Ice| Hardice of Hole Panel & Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=npuSu7i897s,10148,Eat Ic,17400,,41918,24
ASMR Eat Ice| Shavedice Twist roll | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=R9vBphE4nZ8,57789,Eat Ic,17400,,41918,138
ASMR Eat Ice| mini ball ice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=MyYoKokKoyc,41107,Eat Ic,17400,,41918,98
ASMR Eat Ice| Waffle Shaped Shavedice & Hardice Cubes | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek,/watch?v=NBGlm1dRdiQ,19866,Eat Ic,17400,,41918,47
ASMR Eat Ice| Pine cone shape ice shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=y1-tCXVpkEA,5753,Eat Ic,17400,,41918,14
ASMR Eat Ice| Carboneatedice & Leaf-shape Shavedice🍃| 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek,/watch?v=k1YypFnXvH0,30949,Eat Ic,17400,,41918,74
ASMR Eat Ice| Snowflake Hardice❄ | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=_I53U8OArC0,9873,Eat Ic,17400,,41918,24
ASMR Eat Ice| Shavedice&Powderyice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=RIcr42fzVwI,18955,Eat Ic,17400,,41918,45
ASMR Eat Ice| Shavedice&Powderyice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=eH9ZNqGN-w0,18090,Eat Ic,17400,,41918,43
ASMR Eat Ice| Hardice&Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=z_P3DWRWQiw,59493,Eat Ic,17400,,41918,142
ASMR Eat Ice| Shavedice&Powderyice🍕 | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=jC3K08Wxejw,20784,Eat Ic,17400,,41918,50
ASMR Eat Ice| Hardice  cubes | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying sound,/watch?v=Z6cs9zjOeOk,27986,Eat Ic,17400,,41918,67
